,datum,age,female
0,2024-08-01,91,True
1,2024-08-01,86,True
2,2024-08-01,72,False
3,2024-08-01,94,False
4,2024-08-01,82,False
5,2024-08-01,82,False
6,2024-08-01,74,True
7,2024-08-01,87,True
0,2024-08-01,82,True
0,2024-08-01,89,True
0,2024-08-01,89,False
1,2024-08-01,89,False
2,2024-08-01,89,True
3,2024-08-01,51,False
4,2024-08-01,69,True
5,2024-08-01,80,True
0,2024-08-01,93,True
1,2024-08-01,77,False
2,2024-08-01,88,False
3,2024-08-01,81,True
0,2024-08-01,54,False
0,2024-08-05,72,True
1,2024-08-05,90,False
2,2024-08-05,47,True
3,2024-08-05,78,False
0,2024-08-05,86,False
0,2024-08-05,79,True
1,2024-08-05,94,True
2,2024-08-05,61,False
3,2024-08-05,69,False
0,2024-08-05,68,False
1,2024-08-05,86,True
2,2024-08-05,80,False
0,2024-08-05,66,False
0,2024-08-07,81,True
1,2024-08-07,78,False
2,2024-08-07,84,True
3,2024-08-07,69,True
0,2024-08-07,82,True
0,2024-08-07,96,True
1,2024-08-07,71,False
2,2024-08-07,64,True
3,2024-08-07,86,False
4,2024-08-07,90,True
5,2024-08-07,91,False
6,2024-08-07,84,True
0,2024-08-07,88,True
1,2024-08-07,90,True
0,2024-08-08,85,True
1,2024-08-08,95,True
2,2024-08-08,97,True
3,2024-08-08,82,True
4,2024-08-08,80,True
5,2024-08-08,96,False
6,2024-08-08,86,False
7,2024-08-08,90,True
8,2024-08-08,72,False
0,2024-08-08,90,False
1,2024-08-08,66,False
0,2024-08-08,71,True
1,2024-08-08,77,False
2,2024-08-08,85,True
0,2024-08-08,78,False
0,2024-08-08,74,False
1,2024-08-08,66,True
2,2024-08-08,91,True
3,2024-08-08,83,False
4,2024-08-08,84,False
0,2024-08-08,85,False
1,2024-08-08,69,False
2,2024-08-08,70,True
3,2024-08-08,96,True
4,2024-08-08,68,False
5,2024-08-08,76,False
0,2024-08-08,35,False
0,2024-08-09,52,False
1,2024-08-09,95,True
2,2024-08-09,87,True
3,2024-08-09,90,False
4,2024-08-09,89,True
5,2024-08-09,57,False
6,2024-08-09,91,True
7,2024-08-09,70,False
8,2024-08-09,42,False
0,2024-08-09,88,False
0,2024-08-09,68,False
1,2024-08-09,81,True
0,2024-08-09,69,True
0,2024-08-09,79,True
1,2024-08-09,37,False
2,2024-08-09,77,False
3,2024-08-09,0,False
4,2024-08-09,69,True
5,2024-08-09,79,False
6,2024-08-09,68,False
7,2024-08-09,66,True
8,2024-08-09,68,True
9,2024-08-09,63,False
10,2024-08-09,79,True
11,2024-08-09,58,False
12,2024-08-09,74,True
0,2024-08-09,60,True
1,2024-08-09,96,False
2,2024-08-09,76,True
3,2024-08-09,72,True
4,2024-08-09,86,False
5,2024-08-09,90,True
0,2024-08-09,62,False
1,2024-08-09,34,False
0,2024-08-13,77,True
1,2024-08-13,64,False
2,2024-08-13,68,False
0,2024-08-13,71,False
0,2024-08-13,41,False
0,2024-08-13,89,True
1,2024-08-13,92,True
0,2024-08-19,76,False
0,2024-08-20,92,True
0,2024-07-01,91,True
1,2024-07-01,93,True
