datum,person
2018-05-02,18.0
2018-05-03,0.0
2018-05-04,29.0
2018-05-05,1.0
2018-05-06,0.0
2018-05-07,27.0
2018-05-08,25.0
2018-05-09,24.0
2018-05-10,25.0
2018-05-11,33.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,21.0
2018-05-15,17.0
2018-05-16,19.0
2018-05-17,21.0
2018-05-18,25.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,16.0
2018-05-23,18.0
2018-05-24,17.0
2018-05-25,29.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,28.0
2018-05-29,16.0
2018-05-30,27.0
2018-05-31,0.0
2018-06-01,31.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,24.0
2018-06-05,26.0
2018-06-06,23.0
2018-06-07,28.0
2018-06-08,31.0
2018-06-09,0.0
2018-06-10,0.0
2018-06-11,27.0
2018-06-12,20.0
2018-06-13,24.0
2018-06-14,27.0
2018-06-15,27.0
2018-06-16,0.0
2018-06-17,0.0
2018-06-18,27.0
2018-06-19,23.0
2018-06-20,20.0
2018-06-21,22.0
2018-06-22,28.0
2018-06-23,0.0
2018-06-24,0.0
2018-06-25,20.0
2018-06-26,13.0
2018-06-27,21.0
2018-06-28,28.0
2018-06-29,28.0
2018-06-30,0.0
2018-07-01,0.0
2018-07-02,20.0
2018-07-03,17.0
2018-07-04,21.0
2018-07-05,20.0
2018-07-06,28.0
2018-07-07,0.0
2018-07-08,0.0
2018-07-09,16.0
2018-07-10,27.0
2018-07-11,28.0
2018-07-12,26.0
2018-07-13,25.0
2018-07-14,0.0
2018-07-15,0.0
2018-07-16,23.0
2018-07-17,21.0
2018-07-18,17.0
2018-07-19,24.0
2018-07-20,34.0
2018-07-21,0.0
2018-07-22,0.0
2018-07-23,20.0
2018-07-24,21.0
2018-07-25,21.0
2018-07-26,26.0
2018-07-27,28.0
2018-07-28,0.0
2018-07-29,0.0
2018-07-30,20.0
2018-07-31,15.0
2018-08-01,21.0
2018-08-02,30.0
2018-08-03,29.0
2018-08-04,0.0
2018-08-05,0.0
2018-08-06,21.0
2018-08-07,18.0
2018-08-08,18.0
2018-08-09,22.0
2018-08-10,32.0
2018-08-11,0.0
2018-08-12,0.0
2018-08-13,25.0
2018-08-14,22.0
2018-08-15,0.0
2018-08-16,27.0
2018-08-17,29.0
2018-08-18,0.0
2018-08-19,0.0
2018-08-20,19.0
2018-08-21,19.0
2018-08-22,16.0
2018-08-23,24.0
2018-08-24,27.0
2018-08-25,0.0
2018-08-26,0.0
2018-08-27,12.0
2018-08-28,15.0
2018-08-29,19.0
2018-08-30,14.0
2018-08-31,24.0
2018-09-01,0.0
2018-09-02,0.0
2018-09-03,13.0
2018-09-04,15.0
2018-09-05,17.0
2018-09-06,22.0
2018-09-07,28.0
2018-09-08,0.0
2018-09-09,0.0
2018-09-10,18.0
2018-09-11,14.0
2018-09-12,17.0
2018-09-13,22.0
2018-09-14,29.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,24.0
2018-09-18,18.0
2018-09-19,18.0
2018-09-20,23.0
2018-09-21,29.0
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,0.0
2018-09-25,12.0
2018-09-26,14.0
2018-09-27,25.0
2018-09-28,27.0
2018-09-29,0.0
2018-09-30,0.0
2018-10-01,15.0
2018-10-02,12.0
2018-10-03,14.0
2018-10-04,24.0
2018-10-05,23.0
2018-10-06,0.0
2018-10-07,0.0
2018-10-08,19.0
2018-10-09,21.0
2018-10-10,24.0
2018-10-11,23.0
2018-10-12,30.0
